0	11
0	19
0	35
1	13
1	27
1	67
2	11
2	19
3	27
4	16
5	11
6	27
7	55
7	57
8	15
9	11
9	19
10	27
11	12
11	18
11	19
11	21
11	25
11	26
11	27
11	29
11	31
11	33
11	34
11	39
11	40
11	42
11	47
11	48
11	49
11	51
11	55
11	56
11	57
11	58
11	61
11	62
11	63
12	19
13	16
13	19
13	22
13	23
13	24
13	27
13	43
13	60
14	27
15	24
16	19
16	22
16	27
16	28
16	32
16	36
16	37
16	52
16	54
16	59
17	31
17	33
17	56
17	61
19	26
19	27
19	29
19	32
19	42
19	44
19	47
19	48
19	49
19	51
19	55
19	57
19	62
19	63
20	27
21	35
24	27
27	30
27	32
27	35
27	41
27	43
27	45
27	50
27	53
27	60
27	64
27	65
27	66
32	35
33	35
34	35
35	47
35	56
35	61
35	62
35	63
38	55
38	57
44	55
44	57
46	48
